inst_order_gen_date_time,inst_date,inst_name,inst_entry_type,inst_entry_time,inst_entry_qty,inst_entry_price,inst_exit_type,inst_exit_time,inst_exit_price,inst_exit_qty,inst_profit,strategy_name
2024-08-30 09:30:00+05:30,2024-08-30,NSE:MIDCPNIFTY-INDEX,down_entry,09:35:05,75,13121.1,down_exit,15:10:05,13151.85,75.0,30.75,day_open_strategy
2024-08-30 12:00:00+05:30,2024-08-30,NSE:NIFTYBANK-INDEX,down_entry,12:05:05,15,51425.8,down_exit,15:10:05,51351.15,15.0,-74.65000000000146,day_open_strategy
